"year","found.weapon","found.gun","arrested","suspect.race","suspect.age","suspect.build","suspect.sex","suspect.height","suspect.weight","stopped.bc.desc","stopped.bc.violent","stopped.bc.other","stopped.bc.object","stopped.bc.casing","stopped.bc.lookout","stopped.bc.drugs","stopped.bc.clothing","stopped.bc.furtive","stopped.bc.bulge","precinct","inside.outside","location.housing","observation.period","officer.uniform","additional.report","additional.investigation","additional.proximity","additional.evasive","additional.associating","additional.direction","additional.highcrime","additional.time","additional.sights","additional.other","radio.run","day","month","time.period"
2011,FALSE,FALSE,FALSE,"black",32,"thin","male",5.75,175,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,81,FALSE,"neither",1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Saturday","March",2
2011,FALSE,FALSE,FALSE,"white",18,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,FALSE,"neither",5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Wednesday","April",6
2011,FALSE,FALSE,FALSE,"black",28,"medium","male",5.66666666666667,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,120,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Wednesday","January",4
2011,FALSE,FALSE,FALSE,"hispanic",17,"thin","male",5.5,170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,23,FALSE,"housing",1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Monday","April",5
2011,FALSE,FALSE,FALSE,"hispanic",46,"thin","male",5.75,155,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,FALSE,"neither",1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","November",6
2011,FALSE,FALSE,FALSE,"black",22,"medium","male",5.66666666666667,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,FALSE,"housing",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Saturday","November",6
2011,FALSE,FALSE,FALSE,"hispanic",38,"thin","male",5.75,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,67,FALSE,"neither",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Thursday","September",5
2011,FALSE,FALSE,FALSE,"black",18,"medium","male",5.58333333333333,160,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Monday","June",3
2012,FALSE,FALSE,FALSE,"black",26,"medium","male",5.41666666666667,160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79,FALSE,"housing",2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Saturday","December",6
2011,FALSE,FALSE,FALSE,"black",27,"thin","male",6,200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,79,FALSE,"neither",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Wednesday","October",6
2011,FALSE,FALSE,FALSE,"hispanic",47,"medium","male",5.75,170,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Monday","April",6
2011,FALSE,FALSE,FALSE,"black",22,"thin","male",6,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,73,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Saturday","June",5
2011,FALSE,FALSE,FALSE,"black",32,"medium","male",5.75,210,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81,FALSE,"neither",30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Saturday","December",2
2011,FALSE,FALSE,FALSE,"black",30,"medium","male",5,150,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,70,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Saturday","February",5
2011,FALSE,FALSE,FALSE,"hispanic",24,"medium","male",5.25,145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,44,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Sunday","July",6
2012,FALSE,FALSE,FALSE,"black",24,"medium","male",5.83333333333333,160,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,45,FALSE,"neither",5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","November",6
2011,FALSE,FALSE,FALSE,"black",26,"thin","male",5.58333333333333,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88,FALSE,"neither",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Thursday","May",4
2011,FALSE,FALSE,FALSE,"hispanic",48,"medium","male",5.58333333333333,180,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,FALSE,"neither",1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Sunday","February",6
2012,FALSE,FALSE,FALSE,"black",13,"medium","male",5.5,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,TRUE,"housing",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Saturday","January",6
2011,FALSE,FALSE,FALSE,"black",25,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,73,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Tuesday","March",4
2011,FALSE,FALSE,FALSE,"black",22,"thin","male",5.75,140,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Sunday","May",5
2012,FALSE,FALSE,FALSE,"hispanic",23,"medium","male",5.25,180,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,34,FALSE,"neither",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Tuesday","December",6
2011,FALSE,FALSE,FALSE,"black",20,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,114,FALSE,"housing",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Sunday","February",1
2011,FALSE,FALSE,FALSE,"black",20,"thin","male",4.83333333333333,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,77,TRUE,"housing",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Sunday","July",6
2011,FALSE,FALSE,FALSE,"black",33,"medium","male",5.75,170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,113,FALSE,"neither",1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Monday","August",2
2012,TRUE,FALSE,FALSE,"black",34,"thin","male",6.08333333333333,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71,TRUE,"transit",2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Thursday","March",4
2011,FALSE,FALSE,FALSE,"black",25,"medium","male",6.08333333333333,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,100,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Friday","July",6
2011,FALSE,FALSE,FALSE,"black",19,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,FALSE,"neither",3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Monday","March",4
2011,FALSE,FALSE,FALSE,"black",18,"thin","male",5.91666666666667,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Thursday","April",3
2011,FALSE,FALSE,FALSE,"black",15,"medium","male",4.75,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,114,TRUE,"housing",1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Sunday","February",6
2011,FALSE,FALSE,FALSE,"hispanic",65,"medium","male",5.41666666666667,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,24,FALSE,"housing",1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Sunday","June",6
2011,FALSE,FALSE,FALSE,"black",18,"medium","male",5.58333333333333,215,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33,FALSE,"neither",5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Friday","June",5
2011,FALSE,FALSE,TRUE,"black",48,"medium","male",6.08333333333333,195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,113,FALSE,"neither",4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","February",4
2012,FALSE,FALSE,FALSE,"black",40,"medium","male",5.75,200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,113,FALSE,"neither",5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Friday","October",6
2011,FALSE,FALSE,FALSE,"hispanic",35,"medium","male",5.33333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Friday","August",6
2011,FALSE,FALSE,FALSE,"black",34,"medium","male",6,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Sunday","May",6
2011,FALSE,FALSE,FALSE,"black",16,"medium","male",5.66666666666667,160,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,60,FALSE,"housing",1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Saturday","April",5
2011,FALSE,FALSE,FALSE,"hispanic",49,"thin","female",5.5,130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,43,FALSE,"neither",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Tuesday","August",6
2011,FALSE,FALSE,FALSE,"black",20,"thin","male",5.75,165,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,101,FALSE,"neither",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Wednesday","November",6
2012,FALSE,FALSE,FALSE,"white",35,"thin","male",5.91666666666667,170,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,32,FALSE,"neither",5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Wednesday","January",5
2011,FALSE,FALSE,FALSE,"black",30,"medium","male",5.91666666666667,185,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,79,FALSE,"neither",2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Monday","May",5
2012,FALSE,FALSE,FALSE,"black",27,"medium","male",5.66666666666667,180,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,120,FALSE,"housing",3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Friday","July",4
2012,FALSE,FALSE,FALSE,"black",18,"thin","male",5.33333333333333,150,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,FALSE,"neither",5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Sunday","August",5
2012,FALSE,FALSE,FALSE,"hispanic",33,"heavy","male",5.33333333333333,250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,83,FALSE,"neither",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Wednesday","February",6
2012,FALSE,FALSE,FALSE,"black",34,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,44,FALSE,"neither",2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Friday","July",6
2011,FALSE,FALSE,TRUE,"hispanic",21,"medium","male",5.83333333333333,170,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,44,FALSE,"neither",30,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Sunday","November",1
2012,FALSE,FALSE,FALSE,"black",22,"medium","male",5.66666666666667,175,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,75,FALSE,"neither",3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Wednesday","March",6
2011,FALSE,FALSE,FALSE,"black",30,"medium","male",5.91666666666667,195,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,79,FALSE,"neither",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Wednesday","March",6
2011,FALSE,FALSE,FALSE,"hispanic",53,"medium","male",6,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,75,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Wednesday","May",5
2011,FALSE,FALSE,FALSE,"black",22,"medium","male",5.83333333333333,165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,75,FALSE,"neither",1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","December",5
2011,FALSE,FALSE,FALSE,"black",26,"medium","male",5.91666666666667,170,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,TRUE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Saturday","January",5
2012,FALSE,FALSE,FALSE,"white",46,"medium","male",6.16666666666667,205,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,FALSE,"neither",1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Tuesday","September",3
2012,FALSE,FALSE,FALSE,"black",28,"medium","male",5.83333333333333,200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,67,FALSE,"neither",1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Monday","December",6
2011,FALSE,FALSE,FALSE,"other",16,"medium","male",6.08333333333333,145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,114,FALSE,"housing",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Friday","September",6
2011,FALSE,FALSE,FALSE,"hispanic",27,"thin","male",5.83333333333333,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47,TRUE,"housing",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Thursday","June",6
2012,FALSE,FALSE,FALSE,"asian",23,"medium","male",5.08333333333333,190,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,TRUE,"transit",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Thursday","August",5
2011,FALSE,FALSE,FALSE,"hispanic",27,"medium","male",5.58333333333333,225,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,115,FALSE,"neither",2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Tuesday","July",6
2012,FALSE,FALSE,FALSE,"black",15,"medium","male",5.83333333333333,160,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,44,FALSE,"neither",2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","March",5
2011,TRUE,FALSE,TRUE,"black",14,"thin","male",5.83333333333333,130,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28,FALSE,"neither",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","July",1
2011,FALSE,FALSE,FALSE,"black",20,"medium","male",5.91666666666667,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,73,FALSE,"neither",1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Friday","March",6
2011,FALSE,FALSE,FALSE,"black",18,"medium","male",5.91666666666667,215,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,FALSE,"neither",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Saturday","June",6
2012,FALSE,FALSE,FALSE,"asian",21,"medium","male",5.83333333333333,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,70,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Monday","August",6
2011,TRUE,FALSE,TRUE,"black",35,"medium","male",5.75,180,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,103,FALSE,"neither",2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Saturday","October",3
2012,FALSE,FALSE,FALSE,"black",14,"thin","male",5.66666666666667,123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,73,FALSE,"housing",2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Saturday","November",5
2011,FALSE,FALSE,FALSE,"black",50,"thin","female",5.25,110,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,75,FALSE,"neither",5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tuesday","March",2
2011,FALSE,FALSE,FALSE,"hispanic",21,"thin","male",5.58333333333333,140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,FALSE,"housing",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Thursday","July",1
2011,FALSE,FALSE,FALSE,"hispanic",18,"medium","female",5.75,140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,FALSE,"neither",1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Saturday","April",6
